"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"35-64 years","Total mental health presentations","Females","21/22","1,377.1","1,358.7","1,395.6"
"35-64 years","Total mental health presentations","Females","22/23","1,442.6","1,423.9","1,461.5"
"35-64 years","Total mental health presentations","Females","23/24","1,468.0","1,449.2","1,487.0"
"35-64 years","Total mental health presentations","Females","24/25","1,492.2","1,473.4","1,511.2"
"35-64 years","Total mental health presentations","Persons","12/13","1,246.0","1,233.1","1,259.1"
"35-64 years","Total mental health presentations","Persons","13/14","1,307.7","1,294.5","1,321.1"
"35-64 years","Total mental health presentations","Persons","14/15","1,364.3","1,350.9","1,377.9"
"35-64 years","Total mental health presentations","Persons","15/16","1,397.9","1,384.3","1,411.6"
"35-64 years","Total mental health presentations","Persons","16/17","1,435.7","1,422.0","1,449.5"
"35-64 years","Total mental health presentations","Persons","17/18","1,415.3","1,401.8","1,428.9"
"35-64 years","Total mental health presentations","Persons","18/19","1,486.9","1,473.2","1,500.8"
"35-64 years","Total mental health presentations","Persons","19/20","1,442.2","1,428.7","1,455.8"
"35-64 years","Total mental health presentations","Persons","20/21","1,415.3","1,402.0","1,428.7"
"35-64 years","Total mental health presentations","Persons","21/22","1,475.6","1,462.1","1,489.3"
"35-64 years","Total mental health presentations","Persons","22/23","1,566.1","1,552.2","1,580.1"
"35-64 years","Total mental health presentations","Persons","23/24","1,630.2","1,616.1","1,644.4"
"35-64 years","Total mental health presentations","Persons","24/25","1,636.7","1,622.7","1,650.9"
"65 years and over","Total mental health presentations","Males","12/13","519.5","499.7","539.9"
"65 years and over","Total mental health presentations","Males","13/14","518.5","499.1","538.5"
"65 years and over","Total mental health presentations","Males","14/15","558.6","538.7","579.0"
"65 years and over","Total mental health presentations","Males","15/16","540.0","520.8","559.8"
"65 years and over","Total mental health presentations","Males","16/17","599.9","579.9","620.4"
"65 years and over","Total mental health presentations","Males","17/18","607.8","587.9","628.1"
"65 years and over","Total mental health presentations","Males","18/19","614.7","595.0","634.9"
"65 years and over","Total mental health presentations","Males","19/20","603.7","584.4","623.4"
"65 years and over","Total mental health presentations","Males","20/21","618.3","599.2","638.0"
"65 years and over","Total mental health presentations","Males","21/22","721.6","701.1","742.5"
