"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q3","361.1","348.0","374.5"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2016-Q4","356.9","343.9","370.3"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q1","345.3","332.7","358.3"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q2","340.4","327.8","353.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q3","333.7","321.3","346.4"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2017-Q4","341.8","329.2","354.7"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q1","346.1","333.6","358.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q2","353.2","340.6","366.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q3","370.6","357.7","383.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2018-Q4","382.5","369.4","395.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q1","383.6","370.6","396.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q2","390.3","377.2","403.7"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q3","392.8","379.6","406.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2019-Q4","399.6","386.3","413.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q1","386.9","374.0","400.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q2","386.3","373.4","399.5"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q3","390.6","377.6","403.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2020-Q4","384.3","371.4","397.5"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q1","387.0","374.1","400.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q2","386.4","373.5","399.6"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q3","376.0","363.3","389.0"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2021-Q4","371.9","359.3","384.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q1","351.0","338.9","363.5"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q2","344.9","332.8","357.3"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q3","348.1","336.0","360.6"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2022-Q4","346.7","334.6","359.1"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q1","353.6","341.5","365.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q2","365.1","352.9","377.6"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q3","373.4","361.0","386.1"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2023-Q4","384.2","371.6","397.0"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q1","394.2","381.4","407.4"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q2","393.5","380.6","406.7"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q3","387.8","375.0","400.9"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2024-Q4","385.4","372.6","398.4"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q1","374.1","361.6","386.8"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q2","375.8","363.4","388.6"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q3","381.4","368.9","394.3"
"Total: 12 years and over","Total mental health presentations","Persons","South Western Sydney LHD","2025-Q4","376.7","364.2","389.5"
"Total: 12 years and over","Total mental health presentations","Persons","South Eastern Sydney LHD","2015-Q4","251.6","240.6","263.0"
"Total: 12 years and over","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q1","250.0","239.1","261.2"
"Total: 12 years and over","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q2","260.6","249.5","272.1"
"Total: 12 years and over","Total mental health presentations","Persons","South Eastern Sydney LHD","2016-Q3","267.6","256.3","279.2"
